"fodds","horse_id","horse_name","opDec","race_id","timestamp"
"5/1","7503728","final-melody","6","904640","2025-09-29T10:01:26.934897"
"5/1","7657458","imnotleavinyou","6","904640","2025-09-29T10:01:27.141401"
"6/1","7441081","love-bomb","7","904640","2025-09-29T10:01:27.238324"
"13/2","7395223","award-ceremony","7.5","904640","2025-09-29T10:01:27.347413"
"8/1","7708572","spicetown","9","904640","2025-09-29T10:01:27.496261"
"8/1","7365407","star-reign","9","904640","2025-09-29T10:01:27.790989"
"9/1","7691583","the-love-machine","10","904640","2025-09-29T10:01:27.902877"
"10/1","7499448","believe-in-glory","11","904640","2025-09-29T10:01:27.979242"
"10/1","7493134","prairie-echoes","11","904640","2025-09-29T10:01:28.070961"
"14/1","7597340","gelato","15","904640","2025-09-29T10:01:28.200512"
"16/1","7816050","another-niceday","17","904640","2025-09-29T10:01:28.366602"
"20/1","7618338","hooves-your-daddy","21","904640","2025-09-29T10:01:28.467932"
"5/2","5764619","billie-frechette","3.5","904641","2025-09-29T10:01:29.841055"
"3/1","6582559","alba-chiara","4","904641","2025-09-29T10:01:30.050526"
"13/2","6692965","fortuna-vera","7.5","904641","2025-09-29T10:01:30.142035"
"7/1","5147922","mo-ghille-mar","8","904641","2025-09-29T10:01:30.260943"
"15/2","7457874","navy-waters","8.5","904641","2025-09-29T10:01:30.425841"
"10/1","5218328","riviera-queen","11","904641","2025-09-29T10:01:30.515246"
"14/1","2620816","no-niki-no","15","904641","2025-09-29T10:01:30.643077"
"14/1","6037328","sissi","15","904641","2025-09-29T10:01:30.736828"
"16/1","5571417","master-sydney","17","904641","2025-09-29T10:01:30.848057"
"22/1","5218291","pearl-jewel","23","904641","2025-09-29T10:01:31.065797"
"2/1","7834647","running-point","3","904642","2025-09-29T10:01:32.594665"
"9/4","8048368","stars-will-shine","3.25","904642","2025-09-29T10:01:32.714495"
"6/1","8179375","kilmac-air","7","904642","2025-09-29T10:01:32.792203"
"8/1","7436314","idiocracy","9","904642","2025-09-29T10:01:32.895792"
"14/1","8179373","aquilla-star","15","904642","2025-09-29T10:01:32.977071"
"14/1","7601608","celestial-siren","15","904642","2025-09-29T10:01:33.074619"
"16/1","8179372","apiary","17","904642","2025-09-29T10:01:33.263776"
"16/1","7657464","tharaka","17","904642","2025-09-29T10:01:33.447131"
"22/1","7691580","matilda-joslyngage","23","904642","2025-09-29T10:01:33.586428"
"25/1","7735691","fortuity","26","904642","2025-09-29T10:01:33.703008"
"33/1","7935085","saxon-grace","34","904642","2025-09-29T10:01:33.804800"
"40/1","7961715","stonyfalls","41","904642","2025-09-29T10:01:33.955746"
"66/1","7856880","grey-intentions","67","904642","2025-09-29T10:01:34.027433"
"15/8","7298732","diego-el-queso","2.88","904643","2025-09-29T10:01:34.789835"
"11/4","6111570","smiling","3.75","904643","2025-09-29T10:01:35.029632"
"6/1","6465133","perfect-base","7","904643","2025-09-29T10:01:35.132277"
"8/1","8179378","the-corporate-guy","9","904643","2025-09-29T10:01:35.251653"
"9/1","6265711","chester-nimitz","10","904643","2025-09-29T10:01:35.388749"
"12/1","7930875","kakori","13","904643","2025-09-29T10:01:35.488069"
"16/1","8058128","tokyo-treasure","17","904643","2025-09-29T10:01:35.580972"
"20/1","8018233","millraceflow","21","904643","2025-09-29T10:01:35.657875"
"22/1","7966374","obscenity","23","904643","2025-09-29T10:01:35.780455"
"25/1","7983182","tour-guide-tom","26","904643","2025-09-29T10:01:36.055873"
"33/1","8179377","miqdaar","34","904643","2025-09-29T10:01:36.183117"
"100/1","7935097","drumaugh-boy","101","904643","2025-09-29T10:01:36.274753"
"100/1","7996932","monastere","101","904643","2025-09-29T10:01:36.400203"
"100/1","7834665","shesthekingsmaid","101","904643","2025-09-29T10:01:36.474257"
